Category:,Brief Description:,Extended Description:,,,,Data: ,Data: ,Data: ,In Reference Data Location:,Reference Name:,Reference URL:
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=250°C, P=0.5bar)",,250,0.5,2.01E-06,3.29E-07,2.25E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=275°C, P=0.5bar)",,275,0.5,1.96E-06,3.02E-07,2.27E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=300°C, P=0.5bar)",,300,0.5,1.86E-06,2.71E-07,2.11E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=100°C, P=1bar)",,100,1,2.27E-06,5.05E-07,2.75E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=125°C, P=1bar)",,125,1,2.24E-06,4.78E-07,2.68E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=150°C, P=1bar)",,150,1,2.22E-06,4.54E-07,2.61E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=175°C, P=1bar)",,175,1,2.18E-06,4.30E-07,2.62E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=200°C, P=1bar)",,200,1,2.09E-06,4.14E-07,2.55E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=225°C, P=1bar)",,225,1,2.05E-06,3.82E-07,2.48E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=250°C, P=1bar)",,250,1,2.04E-06,3.65E-07,2.44E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=275°C, P=1bar)",,275,1,1.95E-06,3.31E-07,2.40E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=300°C, P=1bar)",,300,1,1.91E-06,2.97E-07,2.34E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=100°C, P=1.5bar)",,100,1.5,2.40E-06,5.15E-07,2.87E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=125°C, P=1.5bar)",,125,1.5,2.36E-06,4.92E-07,2.80E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=150°C, P=1.5bar)",,150,1.5,2.33E-06,4.73E-07,2.72E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=175°C, P=1.5bar)",,175,1.5,2.31E-06,4.44E-07,2.68E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=200°C, P=1.5bar)",,200,1.5,2.20E-06,4.11E-07,2.61E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=225°C, P=1.5bar)",,225,1.5,2.14E-06,3.88E-07,2.57E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=250°C, P=1.5bar)",,250,1.5,2.12E-06,3.67E-07,2.56E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=275°C, P=1.5bar)",,275,1.5,1.99E-06,3.40E-07,2.53E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=300°C, P=1.5bar)",,300,1.5,1.94E-06,3.08E-07,2.45E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=100°C, P=2bar)",,100,2,2.43E-06,5.18E-07,2.94E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=125°C, P=2bar)",,125,2,2.42E-06,4.89E-07,2.87E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=150°C, P=2bar)",,150,2,2.37E-06,4.64E-07,2.79E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=175°C, P=2bar)",,175,2,2.33E-06,4.47E-07,2.75E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=200°C, P=2bar)",,200,2,2.23E-06,4.05E-07,2.67E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=225°C, P=2bar)",,225,2,2.18E-06,3.91E-07,2.67E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=250°C, P=2bar)",,250,2,2.16E-06,3.73E-07,2.26E-06,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=275°C, P=2bar)",,275,2,2.04E-06,3.47E-07,2.61E-07,MeSi400 (table 2),de Vos 1999,
sol-gel,sol-gel Si,by dip coating (T=30°C),,30,,6.76E-07,4.07E-07,3.72E-08,"Al3-Sil-A (figure 5,6,8)",de Lange 1995,
sol-gel,sol-gel Si,by dip coating (T=100°C),,100,,1.20E-06,5.99E-07,5.66E-08,"Al3-Sil-A (figure 5,6,8)",de Lange 1995,
sol-gel,sol-gel Si,by dip coating (T=200°C),,200,,1.50E-06,6.08E-07,8.00E-08,"Al3-Sil-A (figure 5,6,8)",de Lange 1995,
sol-gel,sol-gel Si,by dip coating (T=200°C),,200,,2.17E-06,6.80E-07,,Al3-Sil-A (table 5),de Lange 1995,
sol-gel,sol-gel Si,by dip coating (T=200°C),,200,,1.60E-06,5.50E-07,,Al3-Sil-B (table 5),de Lange 1995,
sol-gel,sol-gel Si,by dip coating (T=200°C),,200,,1.30E-06,3.50E-07,,Al3-Sil-C (table 5),de Lange 1995,
sol-gel,sol-gel Si,by dip coating (T=200°C),,200,,1.80E-06,5.50E-07,,Al3-Sil-D (table 5),de Lange 1995,
sol-gel,sol-gel Si,by dip coating (T=200°C),,200,,1.79E-06,5.10E-07,,Al3-Sil-E (table 5),de Lange 1995,
sol-gel,sol-gel Si,by dip coating (T=200°C),,200,,2.22E-06,6.00E-07,,Al3-Sil-F (table 5),de Lange 1995,
sol-gel,sol-gel Si,by dip coating (T=200°C),,200,,2.18E-06,,4.70E-07,Al3-Sil-G (table 5),de Lange 1995,
sol-gel,sol-gel Si,by dip coating (T=200°C),,200,,2.30E-06,5.20E-07,,Al3-Sil-H (table 5),de Lange 1995,
sol-gel,sol-gel Si,by dip coating (T=25°C),,25,,6.50E-07,2.50E-07,3.49E-08,Al3-Sil-I (table 2),de Lange 1995,
sol-gel,sol-gel Si,by dip coating (T=200°C),,200,,1.60E-06,3.00E-07,6.99E-08,Al3-Sil-I (table 2),de Lange 1995,
sol-gel,sol-gel Si,by dip coating (T=200°C),,200,,2.00E-06,8.50E-07,,Al3-Sil-K (table 5),de Lange 1995,
sol-gel,sol-gel Si,by dip coating (T=50°C),,50,,1.20E-06,4.50E-07,,Al1-Sil-A (table 5),de Lange 1995,
sol-gel,sol-gel Si,by dip coating (T=200°C),,200,,2.30E-06,5.48E-07,,Al1-Sil-A (table 5),de Lange 1995,
sol-gel,sol-gel Si," by dip coating (T=50°C, P=1bar)",,50,1,5.90E-07,3.00E-07,,Al1-Sil-C (table 3),de Lange 1995 4,
sol-gel,sol-gel Si," by dip coating (T=150°C, P=1bar)",,150,1,7.90E-07,2.90E-07,,Al1-Sil-C (table 3),de Lange 1995 4,
sol-gel,sol-gel Si," by dip coating (T=250°C, P=1bar)",,250,1,1.05E-06,2.50E-07,,Al1-Sil-C (table 3),de Lange 1995 4,
sol-gel,sol-gel Si," by dip coating (T=50°C, P=1bar)",,50,1,1.38E-06,5.00E-07,,Al3-Si2-600A (table 5),de Lange 1995 4,
sol-gel,sol-gel Si," by dip coating (T=150°C, P=1bar)",,150,1,1.60E-06,4.00E-07,,Al3-Si2-600A (table 5),de Lange 1995 4,
sol-gel,sol-gel Si," by dip coating (T=250°C, P=1bar)",,250,1,1.70E-06,3.20E-07,,Al3-Si2-600A (table 5),de Lange 1995 4,
sol-gel,sol-gel Si," by dip coating (T=30°C, P=0.2bar)",,30,0.2,2.91E-07,2.43E-07,,"(figure 10,11)",de Lange 1995 6,
sol-gel,sol-gel Si,by dip coating (T=100°C),,100,,7.78E-07,3.07E-07,,"(figure 10,11)",de Lange 1995 6,
sol-gel,sol-gel Si,by dip coating (T=200°C),,200,,1.29E-06,3.54E-07,,"(figure 10,11)",de Lange 1995 6,
sol-gel,sol-gel Si,by dip coating (T=50°C),,50,,1.50E-07,3.56E-09,,"Al3-Si2-A (figure 12,13)",de Lange 1995 6,
sol-gel,sol-gel Si,by dip coating (T=100°C),,100,,2.81E-07,1.82E-09,,"Al3-Si2-A (figure 12,13)",de Lange 1995 6,
sol-gel,sol-gel Si,by dip coating (T=200°C),,200,,3.31E-07,2.09E-09,,"Al3-Si2-A (figure 12,13)",de Lange 1995 6,
sol-gel,sol-gel Si," by dip coating (T=200°C, P=3bar)",,200,3,7.40E-07,8.00E-08,,A13-SiTi10Bu2 (table 4),de Lange 1995 6,
sol-gel,sol-gel Si," by dip coating (T=200°C, P=3bar)",,200,3,1.31E-06,1.60E-07,,AI3-SiTi10Pr2 (table 4),de Lange 1995 6,
sol-gel,sol-gel Si," by dip coating (T=200°C, P=3bar)",,200,3,2.30E-07,5.00E-08,,AI3-SiAI10 (table 4),de Lange 1995 6,
sol-gel,sol-gel Si," by dip coating (T=40°C, P=3bar)",,40,3,4.10E-07,3.18E-07,,AI3-Si1-B (table 3),de Lange 1995 7,
sol-gel,sol-gel Si," by dip coating (T=100°C, P=3bar)",,100,3,6.66E-07,5.50E-07,,"AI3-Si1-B (figure 6,7)",de Lange 1995 7,
sol-gel,sol-gel Si," by dip coating (T=200°C, P=3bar)",,200,3,2.17E-06,6.80E-07,,AI3-Si1-B (table 3),de Lange 1995 7,
sol-gel,sol-gel Si," by dip coating (T=50°C, P=1bar)",,50,1,3.91E-08,2.73E-08,1.90E-09,MSS (figure 4a),Duke 2004 MC,
sol-gel,sol-gel Si," by dip coating (T=100°C, P=1bar)",,100,1,4.42E-08,1.86E-08,2.12E-09,MSS (figure 4a),Duke 2004 MC,
sol-gel,sol-gel Si," by dip coating (T=120°C, P=1bar)",,120,1,4.58E-08,1.51E-08,2.22E-09,MSS (figure 4a),Duke 2004 MC,
sol-gel,sol-gel Si," by dip coating (T=150°C, P=1bar)",,150,1,4.76E-08,1.30E-08,2.31E-09,MSS (figure 4a),Duke 2004 MC,
sol-gel,sol-gel Si," by dip coating (T=170°C, P=1bar)",,170,1,4.76E-08,1.18E-08,2.45E-09,MSS (figure 4a),Duke 2004 MC,
sol-gel,sol-gel Si," by dip coating (T=200°C, P=1bar)",,200,1,4.83E-08,9.32E-09,2.58E-09,MSS (figure 4a),Duke 2004 MC,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=100°C, P=1bar)",,100,1,1.52E-08,6.02E-09,7.10E-10,CTMSS (figure 4b),Duke 2004 MC,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=120°C, P=1bar)",,120,1,1.75E-08,5.24E-09,8.74E-10,CTMSS (figure 4b),Duke 2004 MC,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=170°C, P=1bar)",,170,1,1.96E-08,4.41E-09,1.18E-09,CTMSS (figure 4b),Duke 2004 MC,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=200°C, P=1bar)",,200,1,2.07E-08,3.50E-09,1.34E-09,CTMSS (figure 4b),Duke 2004 MC,
sol-gel,sol-gel Si,by dip coating (T=50°C),,50,,2.29E-09,8.31E-10,3.23E-10,(figure 3a),Duke 2004 M,
sol-gel,sol-gel Si,by dip coating (T=100°C),,100,,2.60E-09,6.45E-10,3.29E-10,(figure 3a),Duke 2004 M,
sol-gel,sol-gel Si,by dip coating (T=150°C),,150,,2.81E-09,5.57E-10,3.53E-10,(figure 3a),Duke 2004 M,
sol-gel,sol-gel Si,by dip coating (T=200°C),,200,,2.92E-09,4.44E-10,4.26E-10,(figure 3a),Duke 2004 M,
sol-gel,sol-gel Si,by dip coating (T=250°C),,250,,2.71E-09,4.02E-10,4.50E-10,(figure 3a),Duke 2004 M,
sol-gel,sol-gel Si,by dip coating (T=150°C),,150,,2.00E-08,2.99E-10,,da costa 2002 (table 1),Duke 2004 M,
sol-gel,sol-gel Si,by dip coating (T=100°C),,100,,1.00E-07,9.09E-09,,kusakabe 1999 (table 1),Duke 2004 M,
sol-gel,sol-gel Si,by dip coating (T=150°C),,150,,1.70E-06,2.70E-07,,de Vos 1998 (table 1),Duke 2004 M,
sol-gel,sol-gel Si,by dip coating (T=150°C),,150,,6.80E-07,2.27E-07,,Tsai 200 (table 1),Duke 2004 M,
sol-gel,sol-gel Si,by dip coating (T=40°C),,40,,1.06E-06,3.03E-07,2.25E-07,(figure 2b),Duke 2006 1,
sol-gel,sol-gel Si,by dip coating (T=100°C),,100,,1.35E-06,2.99E-07,2.30E-07,(figure 2b),Duke 2006 1,
sol-gel,sol-gel Si,by dip coating (T=200°C),,200,,1.59E-06,2.69E-07,2.19E-07,(figure 2b),Duke 2006 1,
sol-gel,sol-gel Si,by dip coating (T=300°C),,300,,1.84E-06,1.96E-07,1.59E-07,(figure 2b),Duke 2006 1,
sol-gel,sol-gel Si,by dip coating (T=400°C),,400,,2.27E-06,1.61E-07,1.03E-07,(figure 2b),Duke 2006 1,
sol-gel,sol-gel Si,by dip coating (T=200°C),,200,,1.80E-07,4.30E-08,2.30E-08,SG1 (table 3),Duke 2008 1,
sol-gel: Carbonised,sol-gel Carbonised,by dip coating (T=200°C),,200,,3.50E-08,8.80E-09,3.50E-09,SC1 (table 3),Duke 2008 1,
sol-gel,sol-gel Si,by dip coating (T=200°C),,200,,9.10E-08,1.10E-08,4.60E-09,SG2 (table 3),Duke 2008 1,
sol-gel: Carbonised,sol-gel Carbonised,by dip coating (T=20°C),,20,,1.11E-06,3.66E-07,,(table 2),Giessler 2003,
sol-gel: Carbonised,sol-gel Carbonised,by dip coating (T=100°C),,100,,1.22E-06,2.90E-07,,(table 2),Giessler 2003,
sol-gel: Carbonised,sol-gel Carbonised,by dip coating (T=200°C),,200,,1.52E-06,2.58E-07,,(table 2),Giessler 2003,
sol-gel,sol-gel Si,by dip coating (T=20°C),,20,,7.78E-10,1.38E-10,,(table 3),Giessler 2003,
sol-gel,sol-gel Si,by dip coating (T=100°C),,100,,3.02E-09,3.98E-10,,(table 3),Giessler 2003,
sol-gel,sol-gel Si,by dip coating (T=200°C),,200,,6.83E-09,6.36E-10,,(table 3),Giessler 2003,
CVD,CVD Si,(T=40°C),,40,,1.49E-10,3.64E-12,8.91E-12,module (figure 4),Gopalakrishnan 2006 1,
CVD,CVD Si,(T=300°C),,300,,5.99E-09,2.41E-12,7.63E-12,module (figure 4),Gopalakrishnan 2006 1,
CVD,CVD Si,(T=600°C),,600,,4.15E-08,6.39E-12,7.92E-12,module (figure 4),Gopalakrishnan 2006 1,
CVD,CVD Si,(T=100°C),,100,,1.72E-09,,4.91E-11,single membrane (figure 5),Gopalakrishnan 2006 1,
CVD,CVD Si,(T=300°C),,300,,2.27E-08,,3.01E-11,single membrane (figure 5),Gopalakrishnan 2006 1,
CVD,CVD Si,(T=500°C),,500,,7.44E-08,,7.99E-11,single membrane (figure 5),Gopalakrishnan 2006 1,
CVD,CVD Si,(T=600°C),,600,,8.66E-08,,7.16E-11,single membrane (figure 5),Gopalakrishnan 2006 1,
CVD,CVD Si,(T=100°C),,100,,5.04E-07,8.43E-08,3.54E-08,(figure 2),Gopalakrishnan 2008,
CVD,CVD Si,(T=200°C),,200,,5.26E-07,4.56E-08,2.86E-08,(figure 2),Gopalakrishnan 2008,
CVD,CVD Si,(T=400°C),,400,,6.16E-07,2.75E-08,2.18E-08,(figure 2),Gopalakrishnan 2008,
CVD,CVD Si,(T=300°C),,300,,7.06E-07,2.13E-08,1.56E-08,(figure 2),Gopalakrishnan 2008,
sol-gel,sol-gel Si,by dip coating (T=150°C),,150,,8.12E-08,1.51E-08,7.56E-09,SiO2 (table 1),Gu 2003,
CVD,CVD Si," (T=600°C, t=3h, P=1bar)",3.00,600,1,2.10E-07,2.10E-09,,(figure 12a),Gu 2007 1,
CVD,CVD Si," (T=600°C, t=4h, P=1bar)",4.00,600,1,2.05E-07,7.32E-10,,(figure 12a),Gu 2007 1,
CVD,CVD Si," (T=600°C, t=5h, P=1bar)",5.00,600,1,1.90E-07,3.65E-10,,(figure 12a),Gu 2007 1,
CVD,CVD Si," (T=600°C, t=3h, P=1bar)",3.00,600,1,5.00E-07,3.00E-10,,(figure 12b),Gu 2007 1,
CVD: Si-Al-O,CVD Si-Al-O," by Si-0.2Al (T=600°C, t=3h)",3.00,600,,2.62E-07,9.28E-09,,0.2Si-Al (figure 3),Gu 2008,
CVD: Si-Al-O,CVD Si-Al-O," by Si-0.2Al (T=600°C, t=4.5h)",4.50,600,,1.62E-07,2.59E-10,,0.2Si-Al (figure 3),Gu 2008,
CVD: Si-Al-O,CVD Si-Al-O," by Si-0.3Al (T=600°C, t=3h)",3.00,600,,1.23E-06,1.86E-07,,0.3Si-Al (figure 4),Gu 2008,
CVD: Si-Al-O,CVD Si-Al-O," by Si-0.3Al (T=600°C, t=6h)",6.00,600,,2.10E-07,1.08E-09,,0.3Si-Al (figure 4),Gu 2008,
CVD: Si-Al-O,CVD Si-Al-O,by Si-0.3Al (T=600°C),,600,,1.00E-07,5.88E-10,,5nm pore size alumina (table 3),Gu 2008,
CVD: Si-Al-O,CVD Si-Al-O,by Si-0.3Al (T=600°C),,600,,1.60E-07,2.71E-10,,100nm pore size alumina (table 3),Gu 2008,
CVD: Si-Al-O,CVD Si-Al-O,by Si-0.2Al (T=600°C),,600,,2.01E-07,2.66E-10,,0.2Si-Al (figure 7),Gu 2008,
CVD: Si-Ti-O,CVD Si-Ti-O," by Si-0.065Ti (T=500°C, t=3h)",3.00,500,,2.02E-06,4.04E-07,,TIP/TEOS 0.065 (figure 4),Gu 2009,
CVD: Si-Ti-O,CVD Si-Ti-O," by Si-0.065Ti (T=500°C, t=6h)",6.00,500,,7.00E-07,9.72E-08,,TIP/TEOS 0.066 (figure 4),Gu 2009,
CVD: Si-Ti-O,CVD Si-Ti-O," by Si-0.065Ti (T=500°C, t=9h)",9.00,500,,5.02E-07,5.58E-08,,TIP/TEOS 0.067 (figure 4),Gu 2009,
CVD: Si-Ti-O,CVD Si-Ti-O," by Si-0.065Ti (T=500°C, t=11h)",11.00,500,,4.30E-07,4.28E-08,,TIP/TEOS 0.068 (figure 4),Gu 2009,
CVD: Si-Ti-O,CVD Si-Ti-O," by Si-0.065Ti (T=500°C, t=13h)",13.00,500,,4.00E-07,3.93E-08,,TIP/TEOS 0.069 (figure 4),Gu 2009,
CVD: Si-Ti-O,CVD Si-Ti-O," by Si-0.065Ti (T=500°C, t=16h)",16.00,500,,3.10E-07,2.97E-08,,TIP/TEOS 0.070 (figure 4),Gu 2009,
CVD: Si-Ti-O,CVD Si-Ti-O," by standard (T=600°C, t=3h)",3.00,600,,4.40E-07,1.52E-08,,(figure 7),Gu 2009,
CVD: Si-Ti-O,CVD Si-Ti-O," by standard (T=600°C, t=6h)",6.00,600,,3.10E-07,9.75E-09,,(figure 7),Gu 2009,
CVD: Si-Ti-O,CVD Si-Ti-O," by Opposing reactants (T=600°C, t=3h)",3.00,600,,1.75E-07,1.48E-08,,(figure 7),Gu 2009,
CVD: Si-Ti-O,CVD Si-Ti-O," by Opposing reactants (T=600°C, t=5h)",5.00,600,,1.25E-07,9.54E-09,,(figure 7),Gu 2009,
CVD: Si-Ti-O,CVD Si-Ti-O," by Opposing reactants (T=400°C, t=3h)",3.00,400,,4.99E-06,2.35E-06,,(figure 9),Gu 2009,
CVD: Si-Ti-O,CVD Si-Ti-O," by Opposing reactants (T=400°C, t=6h)",6.00,400,,1.83E-06,4.55E-07,,(figure 9),Gu 2009,
CVD: Si-Ti-O,CVD Si-Ti-O," by Opposing reactants (T=400°C, t=9h)",9.00,400,,7.88E-07,1.85E-07,,(figure 9),Gu 2009,
CVD: Si-Ti-O,CVD Si-Ti-O," by Opposing reactants (T=400°C, t=12h)",12.00,400,,3.94E-07,7.50E-08,,(figure 9),Gu 2009,
CVD: Si-Ti-O,CVD Si-Ti-O," by Opposing reactants (T=400°C, t=15h)",15.00,400,,2.58E-07,4.53E-08,,(figure 9),Gu 2009,
CVD: Si-Ti-O,CVD Si-Ti-O," by Opposing reactants (T=400°C, t=18h)",18.00,400,,2.06E-07,2.36E-08,,(figure 9),Gu 2009,
CVD,CVD Si,(T=300°C),,300,,2.04E-09,,7.38E-10,M1 (figure 5),Hwang 1999,
CVD,CVD Si,(T=450°C),,450,,2.67E-09,,7.02E-10,M1 (figure 5),Hwang 1999,
CVD,CVD Si,(T=600°C),,600,,4.06E-09,,7.71E-10,M1 (figure 5),Hwang 1999,
CVD,CVD Si,(T=300°C),,300,,1.27E-09,,6.44E-11,M2 (figure 5),Hwang 1999,
CVD,CVD Si,(T=450°C),,450,,2.52E-09,,4.55E-11,M2 (figure 5),Hwang 1999,
CVD,CVD Si,(T=600°C),,600,,4.21E-09,,2.57E-11,M2 (figure 5),Hwang 1999,
CVD,CVD Si,(T=300°C),,300,,2.40E-07,,7.00E-08,S1 (figure 3a),Hwang 2000,
CVD,CVD Si,(T=450°C),,450,,2.32E-07,,5.58E-08,S1 (figure 3a),Hwang 2000,
CVD,CVD Si,(T=600°C),,600,,2.13E-07,,5.23E-08,S1 (figure 3a),Hwang 2000,
CVD,CVD Si,(T=300°C),,300,,1.44E-08,,3.90E-09,S2 (figure 3a),Hwang 2000,
CVD,CVD Si,(T=450°C),,450,,2.11E-08,,3.47E-09,S2 (figure 3a),Hwang 2000,
CVD,CVD Si,(T=600°C),,600,,2.98E-08,,3.08E-09,S2 (figure 3a),Hwang 2000,
CVD,CVD Si,(T=300°C),,300,,1.27E-09,,2.15E-10,S3 (figure 3a),Hwang 2000,
CVD,CVD Si,(T=450°C),,450,,2.85E-09,,1.13E-10,S3 (figure 3a),Hwang 2000,
CVD,CVD Si,(T=600°C),,600,,5.95E-09,,1.00E-10,S3 (figure 3a),Hwang 2000,
CVD,CVD Si,(T=300°C),,300,,1.45E-08,,4.75E-09,L1 (figure 3b),Hwang 2000,
CVD,CVD Si,(T=450°C),,450,,2.02E-08,,4.75E-09,L1 (figure 3b),Hwang 2000,
CVD,CVD Si,(T=600°C),,600,,2.86E-08,,4.13E-09,L1 (figure 3b),Hwang 2000,
CVD,CVD Si,(T=300°C),,300,,1.83E-09,,5.50E-11,L2 (figure 3b),Hwang 2000,
CVD,CVD Si,(T=450°C),,450,,3.91E-09,,7.35E-11,L2 (figure 3b),Hwang 2000,
CVD,CVD Si,(T=600°C),,600,,7.54E-09,,5.32E-11,L2 (figure 3b),Hwang 2000,
CVD,CVD Si," on y-a-Al (T=300°C, t=23h)",23.00,300,,4.35E-09,,2.15E-10,NS-1 (figure 3),Hwang 2003,
CVD,CVD Si," on y-a-Al (T=450°C, t=23h)",23.00,450,,9.83E-09,,2.54E-10,NS-1 (figure 3),Hwang 2003,
CVD,CVD Si," on y-a-Al (T=600°C, t=23h)",23.00,600,,1.36E-08,,2.65E-10,NS-1 (figure 3),Hwang 2003,
CVD,CVD Si," on y-a-Al (T=300°C, t=15h)",15.00,300,,2.35E-08,,4.35E-09,NS-2 (figure 3),Hwang 2003,
CVD,CVD Si," on y-a-Al (T=450°C, t=15h)",15.00,450,,2.64E-08,,5.16E-09,NS-2 (figure 3),Hwang 2003,
CVD,CVD Si," on y-a-Al (T=600°C, t=15h)",15.00,600,,3.64E-08,,4.81E-09,NS-2 (figure 3),Hwang 2003,
CVD,CVD Si," on y-a-Al (T=300°C, t=27h)",27.00,300,,6.26E-09,,4.34E-10,NS-3 (figure 3),Hwang 2003,
